reference	data.jso	thumbnail.png	index.html	volume.nrrd
VFB_00023993 	0	0	0	1
VFB_00023994 	0	0	0	1
VFB_00023995 	0	0	0	1
VFB_00023996 	0	0	0	1
VFB_00023997 	0	0	0	1
VFB_00023998 	0	0	0	1
VFB_00023999 	0	0	0	1
VFB_00024000 	0	0	0	1
VFB_00024001 	0	0	0	1
VFB_00024002 	0	0	0	1
VFB_00024003 	0	0	0	1
VFB_00024004 	0	0	0	1
VFB_00024005 	0	0	0	1
VFB_00024006 	0	0	0	1
VFB_00024007 	0	0	0	1
VFB_00024008 	0	0	0	1
VFB_00024009 	0	0	0	1
VFB_00024010 	0	0	0	1
VFB_00024011 	0	0	0	1
VFB_00024012 	0	0	0	1
VFB_00024013 	0	0	0	1
VFB_00024014 	0	0	0	1
VFB_00024015 	0	0	0	1
VFB_00024016 	0	0	0	1
VFB_00024017 	0	0	0	1
VFB_00024018 	0	0	0	1
VFB_00024019 	0	0	0	1
VFB_00024020 	0	0	0	1
VFB_00024021 	0	0	0	1
VFB_00024022 	0	0	0	1
VFB_00024023 	0	0	0	1
VFB_00024024 	0	1	0	1
VFB_00024025 	0	0	0	1
VFB_00024026 	0	0	0	1
VFB_00024027 	0	0	0	1
VFB_00024028 	0	0	0	1
VFB_00024029 	0	0	0	1
VFB_00024030 	0	0	0	1
VFB_00024031 	0	0	0	1
VFB_00024032 	0	0	0	1
VFB_00024033 	0	0	0	1
VFB_00024034 	0	0	0	1
VFB_00024035 	0	0	0	1
VFB_00024036 	0	0	0	1
VFB_00024037 	0	0	0	1
VFB_00024038 	0	0	0	1
VFB_00024039 	0	0	0	1
VFB_00024040 	0	0	0	1
VFB_00024041 	0	0	0	1
VFB_00024042 	0	0	0	1
VFB_00024043 	0	0	0	1
VFB_00024044 	0	0	0	1
VFB_00024045 	0	0	0	1
VFB_00024046 	0	0	0	1
VFB_00024047 	0	0	0	1
VFB_00024048 	0	0	0	1
VFB_00024049 	0	0	0	1
VFB_00024050 	0	0	0	1
VFB_00024051 	0	0	0	1
VFB_00024052 	0	0	0	1
VFB_00024053 	0	0	0	1
VFB_00024054 	0	0	0	1
VFB_00024055 	0	0	0	1
VFB_00024056 	0	0	0	1
VFB_00024057 	0	0	0	1
VFB_00024058 	0	0	0	1
VFB_00024059 	0	0	0	1
VFB_00024060 	0	0	0	1
VFB_00024061 	0	0	0	1
VFB_00024062 	0	0	0	1
VFB_00024063 	0	0	0	1
VFB_00024064 	0	0	0	1
VFB_00024065 	0	0	0	1
VFB_00024066 	0	0	0	1
VFB_00024067 	0	0	0	1
VFB_00024068 	0	0	0	1
VFB_00024069 	0	0	0	1
VFB_00024070 	0	0	0	1
VFB_00024071 	0	0	0	1
VFB_00024072 	0	0	0	1
VFB_00024073 	0	0	0	1
VFB_00024074 	0	0	0	1
VFB_00024075 	0	0	0	1
VFB_00024076 	0	0	0	1
VFB_00024077 	0	0	0	1
VFB_00024078 	0	0	0	1
VFB_00024079 	0	0	0	1
VFB_00024080 	0	0	0	1
VFB_00024081 	0	0	0	1
VFB_00024082 	0	0	0	1
VFB_00024083 	0	0	0	1
VFB_00024084 	0	0	0	1
VFB_00024085 	0	0	0	1
VFB_00024086 	0	0	0	1
VFB_00024087 	0	0	0	1
VFB_00024088 	0	0	0	1
VFB_00024089 	0	0	0	1
VFB_00024090 	0	0	0	1
VFB_00024091 	0	0	0	1
VFB_00024092 	0	0	0	1
VFB_00024093 	0	0	0	1
VFB_00024094 	0	0	0	1
VFB_00024095 	0	0	0	1
VFB_00024096 	0	0	0	1
VFB_00024097 	0	0	0	1
VFB_00024098 	0	0	0	1
VFB_00024099 	0	0	0	1
VFB_00024100 	0	0	0	1
VFB_00024101 	0	0	0	1
VFB_00024102 	0	0	0	1
VFB_00024103 	0	0	0	1
VFB_00024104 	0	0	0	1
VFB_00024105 	0	0	0	1
VFB_00024106 	0	0	0	1
VFB_00024107 	0	0	0	1
VFB_00024108 	0	0	0	1
VFB_00024109 	0	0	0	1
VFB_00024110 	0	0	0	1
VFB_00024111 	0	0	0	1
VFB_00024112 	0	0	0	1
VFB_00024113 	0	0	0	1
VFB_00024114 	0	0	0	1
VFB_00024115 	0	0	0	1
VFB_00024116 	0	0	0	1
VFB_00024117 	0	0	0	1
VFB_00024118 	0	0	0	1
VFB_00024119 	0	0	0	1
VFB_00024120 	0	0	0	1
VFB_00024121 	0	0	0	1
VFB_00024122 	0	0	0	1
VFB_00024123 	0	0	0	1
VFB_00024124 	0	0	0	1
VFB_00024125 	0	0	0	1
VFB_00024126 	0	0	0	1
VFB_00024127 	0	0	0	1
VFB_00024128 	0	0	0	1
VFB_00024129 	0	0	0	1
VFB_00024130 	0	0	0	1
VFB_00024131 	0	0	0	1
VFB_00024132 	0	0	0	1
VFB_00024133 	0	0	0	1
VFB_00024134 	0	0	0	1
VFB_00024135 	0	0	0	1
VFB_00024136 	0	0	0	1
VFB_00024137 	0	0	0	1
VFB_00024138 	0	0	0	1
VFB_00024139 	0	0	0	1
VFB_00024140 	0	0	0	1
VFB_00024141 	0	0	0	1
VFB_00024142 	0	0	0	1
VFB_00024143 	0	0	0	1
VFB_00024144 	0	0	0	1
VFB_00024145 	0	0	0	1
VFB_00024146 	0	0	0	1
VFB_00024147 	0	0	0	1
VFB_00024148 	0	0	0	1
VFB_00024149 	0	0	0	1
VFB_00024150 	0	0	0	1
VFB_00024151 	0	0	0	1
VFB_00024152 	0	0	0	1
VFB_00024153 	0	0	0	1
VFB_00024154 	0	0	0	1
VFB_00024155 	0	0	0	1
VFB_00024156 	0	0	0	1
VFB_00024157 	0	0	0	1
VFB_00024158 	0	0	0	1
VFB_00024159 	0	0	0	1
VFB_00024160 	0	0	0	1
VFB_00024161 	0	0	0	1
