Aligned file name	VFB ind name	VFBid
JFRC2_VT000341_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000341_GAL4_attP2_2	VFB_00024347
JFRC2_VT000343_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000343_GAL4_attP2_1	VFB_00024348
JFRC2_VT000343_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000343_GAL4_attP2_2	VFB_00024349
JFRC2_VT000343_LexAGAD_attP40_1_bridge.nrrd 	VDRC_VT000343_LexAGAD_attP40_1	VFB_00024350
JFRC2_VT000343_LexAGAD_attP40_2_bridge.nrrd 	VDRC_VT000343_LexAGAD_attP40_2	VFB_00024351
JFRC2_VT000344_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000344_GAL4_attP2_1	VFB_00024352
JFRC2_VT000345_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000345_GAL4_attP2_1	VFB_00024353
JFRC2_VT000345_GAL4_attP2_3_bridge.nrrd 	VDRC_VT000345_GAL4_attP2_3	VFB_00024354
JFRC2_VT000348_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000348_GAL4_attP2_2	VFB_00024355
JFRC2_VT000348_LexAGAD_attP2_1_bridge.nrrd 	VDRC_VT000348_LexAGAD_attP2_1	VFB_00024356
JFRC2_VT000348_LexAGAD_attP40_1_bridge.nrrd 	VDRC_VT000348_LexAGAD_attP40_1	VFB_00024357
JFRC2_VT000348_LexAGAD_attP40_2_bridge.nrrd 	VDRC_VT000348_LexAGAD_attP40_2	VFB_00024358
JFRC2_VT000350_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000350_GAL4_attP2_1	VFB_00024359
JFRC2_VT000350_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000350_GAL4_attP2_2	VFB_00024360
JFRC2_VT000353_GAL4_attP2_3_bridge.nrrd 	VDRC_VT000353_GAL4_attP2_3	VFB_00024361
JFRC2_VT000355_GAL4_attP2_5_bridge.nrrd 	VDRC_VT000355_GAL4_attP2_5	VFB_00024362
JFRC2_VT000355_GAL4_attP2_6_bridge.nrrd 	VDRC_VT000355_GAL4_attP2_6	VFB_00024363
JFRC2_VT000355_LexAGAD_attP40_1_bridge.nrrd 	VDRC_VT000355_LexAGAD_attP40_1	VFB_00024364
JFRC2_VT000355_LexAGAD_attP40_2_bridge.nrrd 	VDRC_VT000355_LexAGAD_attP40_2	VFB_00024365
JFRC2_VT000357_GAL4_attP2_5_bridge.nrrd 	VDRC_VT000357_GAL4_attP2_5	VFB_00024366
JFRC2_VT000357_LexAGAD_attP40_1_bridge.nrrd 	VDRC_VT000357_LexAGAD_attP40_1	VFB_00024367
JFRC2_VT000359_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000359_GAL4_attP2_1	VFB_00024368
JFRC2_VT000359_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000359_GAL4_attP2_2	VFB_00024369
JFRC2_VT000359_GAL4_attP2_4_bridge.nrrd 	VDRC_VT000359_GAL4_attP2_4	VFB_00024370
JFRC2_VT000360_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000360_GAL4_attP2_1	VFB_00024371
JFRC2_VT000360_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000360_GAL4_attP2_2	VFB_00024372
JFRC2_VT000360_LexAGAD_attP2_1_bridge.nrrd 	VDRC_VT000360_LexAGAD_attP2_1	VFB_00024373
JFRC2_VT000360_LexAGAD_attP2_2_bridge.nrrd 	VDRC_VT000360_LexAGAD_attP2_2	VFB_00024374
JFRC2_VT000360_LexAGAD_attP40_1_bridge.nrrd 	VDRC_VT000360_LexAGAD_attP40_1	VFB_00024375
JFRC2_VT000360_LexAGAD_attP40_2_bridge.nrrd 	VDRC_VT000360_LexAGAD_attP40_2	VFB_00024376
JFRC2_VT000362_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000362_GAL4_attP2_1	VFB_00024377
JFRC2_VT000440_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000440_GAL4_attP2_1	VFB_00024378
JFRC2_VT000440_LexAGAD_attP40_1_bridge.nrrd 	VDRC_VT000440_LexAGAD_attP40_1	VFB_00024379
JFRC2_VT000441_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000441_GAL4_attP2_2	VFB_00024380
JFRC2_VT000443_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000443_GAL4_attP2_2	VFB_00024381
JFRC2_VT000444_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000444_GAL4_attP2_1	VFB_00024382
JFRC2_VT000444_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000444_GAL4_attP2_2	VFB_00024383
JFRC2_VT000444_GAL4_attP2_3_bridge.nrrd 	VDRC_VT000444_GAL4_attP2_3	VFB_00024384
JFRC2_VT000445_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000445_GAL4_attP2_1	VFB_00024385
JFRC2_VT000445_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000445_GAL4_attP2_2	VFB_00024386
JFRC2_VT000447_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000447_GAL4_attP2_1	VFB_00024387
JFRC2_VT000447_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000447_GAL4_attP2_2	VFB_00024388
JFRC2_VT000448_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000448_GAL4_attP2_1	VFB_00024389
JFRC2_VT000449_LexAGAD_attP40_1_bridge.nrrd 	VDRC_VT000449_LexAGAD_attP40_1	VFB_00024390
JFRC2_VT000449_LexAGAD_attP40_2_bridge.nrrd 	VDRC_VT000449_LexAGAD_attP40_2	VFB_00024391
JFRC2_VT000450_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000450_GAL4_attP2_1	VFB_00024392
JFRC2_VT000450_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000450_GAL4_attP2_2	VFB_00024393
JFRC2_VT000450_GAL4_attP2_3_bridge.nrrd 	VDRC_VT000450_GAL4_attP2_3	VFB_00024394
JFRC2_VT000450_LexAGAD_attP2_3_bridge.nrrd 	VDRC_VT000450_LexAGAD_attP2_3	VFB_00024395
JFRC2_VT000450_LexAGAD_attP40_2_bridge.nrrd 	VDRC_VT000450_LexAGAD_attP40_2	VFB_00024396
JFRC2_VT000451_GAL4_attP2_5_bridge.nrrd 	VDRC_VT000451_GAL4_attP2_5	VFB_00024397
JFRC2_VT000451_GAL4_attP2_6_bridge.nrrd 	VDRC_VT000451_GAL4_attP2_6	VFB_00024398
JFRC2_VT000451_GAL4_attP2_7_bridge.nrrd 	VDRC_VT000451_GAL4_attP2_7	VFB_00024399
JFRC2_VT000453_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000453_GAL4_attP2_1	VFB_00024400
JFRC2_VT000453_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000453_GAL4_attP2_2	VFB_00024401
JFRC2_VT000454_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000454_GAL4_attP2_1	VFB_00024402
JFRC2_VT000454_LexAGAD_attP2_1_bridge.nrrd 	VDRC_VT000454_LexAGAD_attP2_1	VFB_00024403
JFRC2_VT000454_LexAGAD_attP40_3_bridge.nrrd 	VDRC_VT000454_LexAGAD_attP40_3	VFB_00024404
JFRC2_VT000455_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000455_GAL4_attP2_1	VFB_00024405
JFRC2_VT000455_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000455_GAL4_attP2_2	VFB_00024406
JFRC2_VT000455_LexAGAD_attP40_1_bridge.nrrd 	VDRC_VT000455_LexAGAD_attP40_1	VFB_00024407
JFRC2_VT000455_LexAGAD_attP40_2_bridge.nrrd 	VDRC_VT000455_LexAGAD_attP40_2	VFB_00024408
JFRC2_VT000456_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000456_GAL4_attP2_1	VFB_00024409
JFRC2_VT000456_GAL4_attP2_3_bridge.nrrd 	VDRC_VT000456_GAL4_attP2_3	VFB_00024410
JFRC2_VT000458_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000458_GAL4_attP2_1	VFB_00024411
JFRC2_VT000458_GAL4_attP2_3_bridge.nrrd 	VDRC_VT000458_GAL4_attP2_3	VFB_00024412
JFRC2_VT000460_GAL4_attP2_6_bridge.nrrd 	VDRC_VT000460_GAL4_attP2_6	VFB_00024413
JFRC2_VT000461_GAL4_attP2_3_bridge.nrrd 	VDRC_VT000461_GAL4_attP2_3	VFB_00024414
JFRC2_VT000462_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000462_GAL4_attP2_1	VFB_00024415
JFRC2_VT000462_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000462_GAL4_attP2_2	VFB_00024416
JFRC2_VT000462_GAL4_attP2_3_bridge.nrrd 	VDRC_VT000462_GAL4_attP2_3	VFB_00024417
JFRC2_VT000463_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000463_GAL4_attP2_2	VFB_00024418
JFRC2_VT000464_LexAGAD_attP40_1_bridge.nrrd 	VDRC_VT000464_LexAGAD_attP40_1	VFB_00024419
JFRC2_VT000464_LexAGAD_attP40_2_bridge.nrrd 	VDRC_VT000464_LexAGAD_attP40_2	VFB_00024420
JFRC2_VT000465_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000465_GAL4_attP2_1	VFB_00024421
JFRC2_VT000465_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000465_GAL4_attP2_2	VFB_00024422
JFRC2_VT000468_GAL4_attP2_3_bridge.nrrd 	VDRC_VT000468_GAL4_attP2_3	VFB_00024423
JFRC2_VT000470_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000470_GAL4_attP2_2	VFB_00024424
JFRC2_VT000534_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000534_GAL4_attP2_1	VFB_00024425
JFRC2_VT000535_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000535_GAL4_attP2_2	VFB_00024426
JFRC2_VT000535_GAL4_attP2_3_bridge.nrrd 	VDRC_VT000535_GAL4_attP2_3	VFB_00024427
JFRC2_VT000535_GAL4_attP2_4_bridge.nrrd 	VDRC_VT000535_GAL4_attP2_4	VFB_00024428
JFRC2_VT000535_LexAGAD_attP40_1_bridge.nrrd 	VDRC_VT000535_LexAGAD_attP40_1	VFB_00024429
JFRC2_VT000535_LexAGAD_attP40_2_bridge.nrrd 	VDRC_VT000535_LexAGAD_attP40_2	VFB_00024430
JFRC2_VT000536_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000536_GAL4_attP2_1	VFB_00024431
JFRC2_VT000539_LexAGAD_attP40_1_bridge.nrrd 	VDRC_VT000539_LexAGAD_attP40_1	VFB_00024432
JFRC2_VT000539_LexAGAD_attP40_4_bridge.nrrd 	VDRC_VT000539_LexAGAD_attP40_4	VFB_00024433
JFRC2_VT000605_GAL4_attP2_1_bridge.nrrd 	VDRC_VT000605_GAL4_attP2_1	VFB_00024434
JFRC2_VT000605_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000605_GAL4_attP2_2	VFB_00024435
JFRC2_VT000605_LexAGAD_attP40_1_bridge.nrrd 	VDRC_VT000605_LexAGAD_attP40_1	VFB_00024436
JFRC2_VT000605_LexAGAD_attP40_2_bridge.nrrd 	VDRC_VT000605_LexAGAD_attP40_2	VFB_00024437
JFRC2_VT000606_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000606_GAL4_attP2_2	VFB_00024438
JFRC2_VT000606_GAL4_attP2_3_bridge.nrrd 	VDRC_VT000606_GAL4_attP2_3	VFB_00024439
JFRC2_VT000606_GAL4_attP2_4_bridge.nrrd 	VDRC_VT000606_GAL4_attP2_4	VFB_00024440
JFRC2_VT000606_GAL4_attP2_5_bridge.nrrd 	VDRC_VT000606_GAL4_attP2_5	VFB_00024441
JFRC2_VT000606_LexAGAD_attP2_2_bridge.nrrd 	VDRC_VT000606_LexAGAD_attP2_2	VFB_00024442
JFRC2_VT000606_LexAGAD_attP40_1_bridge.nrrd 	VDRC_VT000606_LexAGAD_attP40_1	VFB_00024443
JFRC2_VT000607_GAL4_attP2_2_bridge.nrrd 	VDRC_VT000607_GAL4_attP2_2	VFB_00024444
JFRC2_VT000607_GAL4_attP2_4_bridge.nrrd 	VDRC_VT000607_GAL4_attP2_4	VFB_00024445
JFRC2_VT000607_LexAGAD_attP2_1_bridge.nrrd 	VDRC_VT000607_LexAGAD_attP2_1	VFB_00024446
JFRC2_VT000607_LexAGAD_attP2_2_bridge.nrrd 	VDRC_VT000607_LexAGAD_attP2_2	VFB_00024447
JFRC2_VT000607_LexAGAD_attP40_1_bridge.nrrd 	VDRC_VT000607_LexAGAD_attP40_1	VFB_00024448
