ff	brightest
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000055_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	22
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000056_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	42
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000057_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	34
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000058_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	130
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000058_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	75
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000058_seg003_03_warp_m0g80c8e1e-1x26r4.nrrd	69
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000059_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	65
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000060_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	189
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000061_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	91
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000062_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	93
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000063_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	202
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000064_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	56
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000065_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	205
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000066_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	93
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000067_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	67
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000068_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	45
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000069_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	93
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000070_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	46
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000071_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	162
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000072_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	215
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000072_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	195
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000072_seg003_03_warp_m0g80c8e1e-1x26r4.nrrd	65
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000073_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	196
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000074_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	197
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000075_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	57
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000076_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	96
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000077_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	195
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000078_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	192
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000079_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	207
reformatted.JFRC2/JFRC2_FCWB_5HT1bMARCM-M000080_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	76
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000001_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	122
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000002_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	149
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000003_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	161
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000004_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	115
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000004_seg005_03_warp_m0g80c8e1e-1x26r4.nrrd	171
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000006_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	127
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000006_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	135
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000006_seg003_03_warp_m0g80c8e1e-1x26r4.nrrd	163
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000007_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	206
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000008_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	141
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000009_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	186
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000009_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	93
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000010_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	138
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000010_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	181
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000011_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	174
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000012_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	80
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000012_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	96
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000013_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	124
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000013_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	72
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000013_seg003_03_warp_m0g80c8e1e-1x26r4.nrrd	106
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000014_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	118
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000014_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	133
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000015_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	60
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000015_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	50
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000016_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	58
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000017_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	85
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000018_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	115
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000018_seg002_03_warp_m0g80c8e1e-1x26r4.nrrd	212
reformatted.JFRC2/JFRC2_FCWB_ChaMARCM-F000019_seg001_03_warp_m0g80c8e1e-1x26r4.nrrd	211
